Title,Genre,Plot,Is the movie primarily a love story or romance?,Does the plot revolve around family dynamics or drama?,Is there a significant element of friendship in the movie?,Is the movie set in a rural village?,Is there a major focus on social or political issues?,Does the movie feature a strong female lead character?,Is the protagonist seeking revenge as part of the story?,Is there a supernatural or fantasy element in the plot?,Is the movie set during a historical period?,Does the plot involve a wedding or marriage as a central theme?,Is there a significant action or crime-related element in the movie?,Is the movie a biopic or based on true events?,Does the film involve a journey or travel as part of the story?,Is the movie known for its music or significant song sequences?,Does the movie take place in a metropolitan city or urban setting?
Tashan,"Action, Romance","Jeetendra Kumar Makwana is employed full-time at a Call Center and works part-time teaching English. He is recruited by an attractive young woman, Pooja, to teach her Hinglish-speaking boss, Bhaiyaji, English. Jeetendra agrees to do so, falls in love with Pooja, and joins forces with her to steal a bag containing 25 Crore Rupees in cash. He will soon find out that Bhaiyaji is a hoodlum and extortionist known to the Police as Lakhan Singh.",Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes
Sirf,"Drama, Romance","Mumbai, the commercial capital of India, is a city that never sleeps. Rapidly changing at a feverish pace with every passing second, it is always on the move and so are the people living in it. In this story, we take an insight into the lives of the people living in this city and how the pace of the city affects their relationships and how they deal with it. No matter what happens life has to go on.  This is also a story of four couples and their lives in a metropolitan city. They belong to different social and financial strata and every one has got its own problems to deal with. What one couple has, the other doesn't?",Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Mumbai Cutting,Drama,An anthology of eleven short films from eleven directors featuring stories of life in Mumbai.,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Mr. Black Mr. White,Comedy,"Hoshiarpur based Gopi's dying father asks him to locate Kishen and hand-over a piece of land to him, and subsequently passes away. Gopi heads out to Goa and this is where he will be taken for a ride not only by Kishen, but also by Kishen's look-alike hoodlum brother, Hari; and get involved, along with a group of assorted characters, in the location of diamonds that were stolen by three women.",No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes
Jimmy,"Drama, Action, Crime","In the dead of the night, a young woman's dead body is recovered by the police. All leads point to Jimmy, a mechanical engineer by day and dancing sensation by night.",No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes
Bhoothnath,"Family, Comedy","Banku, his mother, Anjali Sharma and father move in to their new house -- the Nath villa, unaware of the fact that the house is inhabited by a ghost. It is learnt the ghost is not too happy with his new housemates. But what the ghost is not prepared for is his unlikely friendship with Banku. Now Banku must uncover the reason why his ghostly friend is stuck and help him to attain salvation.",No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes
Jannat,"Crime, Drama, Romance",A gambler turns into a cricket bookie banking on his sixth sense for the game. But his urge to make quick money pushes him into match-fixing and he loses control of his life and love.,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes
Ghatothkach - Master of Magic,"Animation, Family","Magical forest prince Ghatothkach and his elephant pal Gajju rescue animals, challenge demons and even play Cupid in this musical animated adventure.",No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No
Dhoom Dadakka,"Drama, Comedy","At a Bangkok 'Asian Bhai Meet' the Godfather meets with several gangsters, reviews the reduction in revenue, and decides to induct fresh blood. While Fursat Lala decides to hand-over this task to his son, Zac; Mungi Lal, a bachelor, has no heir, save for an long-estranged maternal nephew, Kamal, and is asked to find him and include him in this gang within 30 days. Mungi and his associate, Jignesh, head out to Mumbai in an effort to locate his estranged sister, Angoori, and her son - in vain - as there is no trace of the duo. He recruits the services of Private Detective Johnny English and instructs him to locate Kamal. Johnny does locate him and takes him to meet with Mungi - a move that will result in nothing but hilarious chaos when Mungi tells him that he has already located Kamal. Things get even more confusing after a woman shows up - also claiming to be Kamal!!",No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes
Woodstock Villa,"Crime, Mystery, Thriller","Sameer thinks he's found the solution to all his problems when he's hired by a beautiful woman to kidnap her in an elaborate ruse to test her husband's love. But when the woman turns up dead, Sameer finds himself at the center of a dangerous web of lies, deception and murder.",No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No
Sarkar Raj,"Action, Adventure, Crime, Drama","When Anita Raja, CEO of Sheppard power plant, brings a power plant proposal to set up in rural Mahrashtra before the Nagres, insightful Shankar is quick to realise the benefits the power plant can bring to the people.",No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No
Aamir,Thriller,A doctor of Indian origin returning to Mumbai from London is forced to participate in a terrorist plot.,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes
Summer 2007,Drama,"Thinking that the internship they've just signed up for will be a breeze, five disaffected medical students receive a rude awakening. Hoping to be stationed near Goa, enjoy and have some fun, they instead find themselves in a remote place.They're assigned to a rural village in India crippled by poverty, malnutrition and sickness.",No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No
Mere Baap Pehle Aap,"Romance, Comedy","Apart from running a mall, Gaurav Rane has to take care of his widower father Janardhan and bail him out of the misadventures he gets into due to the influence of his father's eccentric friend Mr. Mathur. Gaurav soon falls in love with his former classmate Shikha and they find out about Janardhan's long lost love and they decide to reunite the lovers.",Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes
Dashavatar,"Music, Animation, Family",Two children are transported through time to learn about the 10 avatars of Lord Vishnu and discover that Vishnu took on various incarnations to combat evil in every era.,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No
Memsahab,Thriller,Memsahab is a woman-oriented movie with a social message of non-violence. Memsahab is based on the cruel incidents post the 1984 riots that happened in Northern India.,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes
Khushboo: The Fragrance of Love,Romance,A couple from diverse religions encounter challenges after they decide to get married without approval from their respective families.,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Haal-e-Dil,"Drama, Romance","While traveling by train Shekhar attempts to woo Sanjana Sharma, but finds out she had given her heart to a former boyfriend, Rohit, who is no more. Both share some misadventures en-route to Simla, and upon arrival Shekhar openly declares his love for her knowing fully that this decision will bring nothing but heartbreak for him.",Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes
Thoda Pyaar Thoda Magic,"Drama, Comedy","One day they pray to God for help and he does help them. He sends his most mischievous, childlike, lovable angel to the rescue, with a mission to bring Ranbeer and the kids together. Geeta (Rani Mukerji) comes bicycling down a rainbow… and bursts into Ranbeer's house as the selfproclaimed new nanny. And then starts the roller coaster ride of fun, emotions, magic and love.",Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes
Love Story 2050,"Science Fiction, Romance","Tells the story about Karan, a young, spirited, sporty boy who lives life off the rules and Sana, a young petite, shy girl who lives life by the rules. This develops into a magical love story. Karan's uncle, Dr. Yatinder Khanna's much developed time machine finally works. Sana expresses her wish to travel ahead in time to Mumbai in the future. We land in Mumbai 2050 in the time machine... along with Uncle Yatinder, Rahul, and Thea (Sana's younger brother and sister). Flying cars, 200-story buildings, robots and sky rails have changed the very face of Mumbai. Through a series of twists and turns, the time traveler Karan finds himself separating from his love. QT, a friendly femme robot, and Boo, a small robotic teddy bear play their distinct roles in bringing their love story together but soon find themselves under the threat of the demi-god of the future, Dr. Hoshi. Will Karan be able to overcome the threat of Dr. Hoshi and win his love and travel back in time?",Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes
Jaane Tu... Ya Jaane Na,"Drama, Comedy, Romance",Two best friends being convinced that they are not in love search for each other's love.,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes
Contract,"Thriller, Action","After witnessing the brutal death of his family, an embittered ex-army officer agrees to infiltrate a gang of terrorists.",No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No
Kismat Konnection,"Drama, Comedy, Romance",Raj Malhotra is a luckless architect who seeks success but in vain. He bumps into a social activist named Priya. Raj finds out that Priya is a lucky charm for him but unfortunately she is protecting the community center for which he aims to win the contract of demolishing for a brand new shopping mall.,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes
Balika Vadhu,Drama,"Set in rural Rajasthan, 'Balika Vadhu' traces the arduous journey of child bride Anandi from childhood to the brink of womanhood. Married at the tender age of eight, Anandi must accept and accustom herself to a new family of strangers and accept her roles as friend, lover, wife, and daughter-in-law during childhood itself. Now, as a young adult, she faces new challenges as she tries to carve out her own identity in the world. 'Balika Vadhu' very sensitively portrays the plight of children who are unwittingly forced into marriage in the name of tradition and must bear with the repercussions for the rest of their lives.—Colors TV",No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Money Hai Toh Honey Hai,"Drama, Comedy","Manikchand Khiralal is a struggling model who gets kicked out by his mentor, Dolly, when she finds another boyfriend; Lalabhai Bharodia has no business acumen, and has lost millions; Shruti is a much abused and underpaid designer; Gaurav Negi gets fired from his job with Glamour Ad Agency; Ashima Kapoor...",No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
Mission Istaanbul,"Action, Adventure",A news reporter must uncover the secret on the 13th floor of a News Station.,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes
Ugly Aur Pagli,"Drama, Romance","It is a story of Kabir, a carefree guy who has been studying engineering for the last ten years now, whose life goes for a sixer when he meets the quirky and kinky Kuhu. Kabir always wanted a girl to love but he never in his wildest dreams thought he would encounter a girl who could make him dance around circles, run around naked, ride cycles without seats, wear high heels, and many other things",Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
Khiladi No 1,"Action, Thriller","The film is based on true events and addresses issues of rape, trafficking and crimes committed against women in India",No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No
Good Luck!,"Comedy, Drama","Mumbai-based Saba Sharma lives a charmed life with a 'good luck' syndrome. Everything she does - whether it's work or play - is charmed and goes smoothly. After securing a meaty contract with Tarun Chopra, she is promoted by her boss, Kanchan Soni, and they celebrate with a masked party. It is here she meets with a male, Vicky Varma, dances with him and kisses him - thereby losing her luck. Shortly thereafter she not only gets arrested; gets lodged in a cell and slapped by a larger woman; but also gets fired. She moves in with a co-worker, Ritu, and both plan to locate the masked male, have Saba kiss him, and restore her good luck. But the question remains: how she is going to locate him?",No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes
Singh Is Kinng,"Action, Comedy","A comic caper about Happy Singh, a Punjabi villager who goes through a series of misadventures and eventually becomes the King of the Australian underworld.",No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes
Chanchal,"Drama, Musical",A young woman's story of being ordered around and having her life controlled by her dominant grandmother.,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No
God Tussi Great Ho,"Comedy, Drama, Fantasy","When a rival steals his presentation and takes the credit for making it, a man gets fired from his job and lashes out on God for making his life miserable. However, God appears before him in human form and gives him his powers with a challenge to do better than him.",No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes
