title,genre,plot,release_date,directors,"is the movie either drama, adventure, or music?","is the movie either romance, mystery, or history?","is the movie either action, horror, or documentary?","is the movie either comedy, family, or fantasy?",is the movie released in the 2010s or 1990s?,"is the movie released in the 2020s, 2000s, or 1980s?","is the movie released in the 1970s, 1960s, 1950s, 1940s, 1930s, or 1920s?","is the movie directed by david dhawan, mahesh bhatt, ram gopal varma, vikram bhatt, or priyadarshan?","is the movie directed by rama rao tatineni, k. bapaiah, ram gopal varma, vikram bhatt, or david dhawan?","is the movie directed by shantaram rajaram vankudre, mehboob khan, hrishikesh mukherjee, bimal roy, or adoor gopalakrishnan?",imdb_id,cast,"Does the movie feature any of these actors: Mithun Chakraborty, Akshay Kumar, Ajay Devgn, Govinda, or Jackie Shroff?","Is one of these actors in the movie: Mithun Chakraborty, Amitabh Bachchan, Sanjay Dutt, Jeetendra, or Raj Babbar?","Does the cast include any of these actors: Ashok Kumar, Dev Anand, Raj Kapoor, Vyjayanthimala, or Meena Kumari?"
Praan Jaye Par Shaan Na Jaye,['Drama'],"Aman Joshi (Aman Verma) is on a research assignment. His subject is the chawl dwellers in Bombay City. He rents a small tenement there and talks to the people living there. He soon gets involved in their lives, and even gets attracted to plain-looking Saundarya (Divya Mirza), who he transforms into a beauty, after a cosmetic makeover. Aman's kindness is mistaken for generosity by all the chawl dwellers, and they swarm him for his money, trying to get loans and gifts, to improve their lives. Then the lives of this small community are turned upside down, when the owner announces that he intends to tear the building down.",2003-05-01,['Sanjay Jha'],Yes,No,No,No,No,Yes,No,No,No,No,tt0330783,"Namrata Shirodkar, Raveena Tandon, Rinke Khanna",No,No,No
Ishq Vishk,"['Drama', ' Comedy', ' Romance']","Rajiv Mathur decides to go conditionally steady with fellow collegian, Payal, so that be can be permitted to go on an outing. Payal accepts, and accompanies him. During the outing, he gets intoxicated, and attempts to molest her, and she decides to dump him. Thereafter, slighted but not beaten - Rajiv turns on his charms on another beauty - the gorgeous Alisha Sahay. But will she be as permissible as Payal?",2003-05-05,['Ken Ghosh'],Yes,Yes,No,Yes,No,Yes,No,No,No,No,tt0362771,"Shenaz Treasury, Shahid Kapoor, Amrita Rao",No,No,No
Kaise Kahoon Ke Pyaar Hai,"['Crime', ' Romance']","Karan (Amit Hongorani) is the son of Lakshmi (Farida Jalal) and Dharam (Dharmendra). His father is a professional robber, so his mother leaves him to raise Karan and his sister Kiran in dignity. However, when Karan comes of age, he supports his fathers nocturnal adventures and becomes a successful burglar.  In college, he falls in love with Priya (Sharbani Mukherjee), the daughter of the wealthy Somnath Arya (Alok Nath). Since he is a burglar, he does not dare to tell Priya about his love—however, he tells Sandwich (Johnny Lever), his loyal friend. Priya is also in love with Karan, but doesn't tell him because she is shy, despite her best friend Nikki's (Rushali) attempts to matchmake the two of them - and things get difficult for her when Sonia (Nilofer) joins the college, who is extremely good-looking and tries to woo Karan.",2003-05-09,['Anil Senior'],No,Yes,No,No,No,Yes,No,No,No,No,tt0366658,"Sharbani Mukherjee, Amit Hingorani, Dharmendra",No,No,No
Haasil,"['Drama', ' Romance']","Anirudhh, a law-abiding college student, in love with Niharika, gets caught up in college politics and crime, and must fight it out for himself, when friends turn into foes.",2003-05-15,['Tigmanshu Dhulia'],Yes,Yes,No,No,No,Yes,No,No,No,No,tt0362696,"Jimmy Shergill, Irrfan Khan, Hrishitaa Bhatt",No,No,No
Stumped,"['Comedy', ' Drama', ' Sport']","Raghav Seth, a young army officer, shifts to Delhi with his wife Reema to ""Happy Home Society"". They soon realize that the society is home to many cricket fans.",2003-05-16,['Gaurav Pandey'],Yes,No,No,Yes,No,Yes,No,No,No,No,tt0357208,"Salman Khan, Raveena Tandon, Alyy Khan",No,No,No
Armaan,"['Drama', ' Romance']","Dr. Siddharth Sinha is a dedicated selfless doctor who dreams of building a state-of-the-art hospital with all the modern instruments and amenities for patient care . His foster son Akash shares his dream . Akash falls in love with Neha Mathur , an anaesthetist in the same hospital . In a friend's party , Akash meets Sonia who is a spoilt daughter of a millionaire Gulshan Kapoor . Sonia develops an infatuation for Akash . Gulshan Kapoor proposes to Dr. Siddharth Sinha that he will donate a big sum of money to his hospital , on the condition that Akash marries Sonia . Dr. Siddharth Sinha declines but dies of a heart attack a few days later . Burdened with fulfilling his father's dream , Akash decides to marry Sonia sacrificing his own love . But even after marriage Sonia is jealous of Neha and constantly accuses Akash of infidelity which leaves him in a dilemma , torn between two women .",2003-05-16,['Honey Irani'],Yes,Yes,No,No,No,Yes,No,No,No,No,tt0331851,"Amitabh Bachchan, Anil Kapoor, Preity G Zinta",No,Yes,No
Andaaz,"['Drama', ' Music', ' Romance']","Young Raj Malhotra (Akshay Kumar) lives with his elder brother, Rohit; his sister-in-law Kiran, and a niece. After an accident fractures his leg, he is unable to walk for some time. Due to psychological reasons, he cannot walk even after the fracture heals. When the Malhotras move to Dehra Dun, Raj befriends young Kajal (Dutta), as both share a common passion for airplanes. Kajal encourages Raj to walk, and succeeds. Years later the two continue to be fast friends, and everyone expects them to marry soon. Then Raj is recruited by the Indian Air Force and goes for training for a year and a half. After his training gets over, he rushes to Kajal to propose to her, only to find out that she has given her heart to a multimillionaire, Karan Singhania (Verma), who owns several airplanes and choppers. Raj congratulates Kajal and Karan, but does not reveal his true feelings.",2003-05-23,['Raj Kanwar'],Yes,Yes,No,No,No,Yes,No,No,No,No,tt0346507,"Akshay Kumar, Lara Dutta, Priyanka Chopra Jonas",Yes,No,No
Jajantaram Mamantaram,"['Family', ' Fantasy']","A young man lands in the land of little people, who ask him to save them from their enemies.",2003-05-30,['Soumitra Ranade'],No,No,No,Yes,No,Yes,No,No,No,No,tt0368811,"Joy Fernandes, Jaaved Jaaferi, Gulshan Grover",No,No,No
Bhoot,['Horror'],"A Mumbai businessman and his wife are looking for a new flat. Apartment 1201 has been vacant since its previous occupant jumped to her death. Undeterred, the couple still decides to move in, but before long, the wife starts to have visions.",2003-05-30,['Ram Gopal Varma'],No,No,Yes,No,No,Yes,No,No,No,No,tt0341266,"Urmila Matondkar, Nana Patekar, Ajay Devgn",Yes,No,No
Koi Hai,"['Drama', ' Mystery', ' Thriller']","Raj is having an affair with a dancer. He is desperate to rid himself of his wife. He hires a killer, only to find the assassin dead in his living room. Who is there?",2003-06-06,['Rajiv S. Ruia'],Yes,Yes,No,No,No,Yes,No,No,No,No,tt2150074,"Rinku Ghosh, Shweta Menon, Aman Verma",No,No,No
Anubhav: An Experience,"['Drama', ' Crime']","Jaikishan and Reema are in love with each other but live a poor lifestyle in India and are unable to marry. Jaikishan decides to seduce and marry a wealthy heiress, Monica, who he can subsequently divorce, take possession of her wealth, and then re-marry Reema.",2003-06-09,['Sandeep Kumar'],Yes,No,No,No,No,Yes,No,No,No,No,tt1146305,"Amit, Afrin, Neel Arvind",No,No,No
Chalte Chalte,"['Comedy', ' Drama', ' Romance']",A man pursues a woman who is already engaged and eventually gets married to her. Differences between the two lead to a bitter separation that threatens to destroy their relationship forever.,2003-06-12,['Aziz Mirza'],Yes,Yes,No,Yes,No,Yes,No,No,No,No,tt0346723,"Rani Mukerji, Jas Arora, Shah Rukh Khan",No,No,No
Yeh Dil,['Romance'],A musical love story of Ravi and Vasundhara who study in the same college. Both are good friends until their friendship transforms into true love. Their urge of getting married is objected by both their families. After going through many obstacles they are successful in getting married with the help of their college principal and friends.—gavin@sunny_deol2009@yahoo.com,2003-06-17,['Teja'],No,Yes,No,No,No,Yes,No,No,No,No,tt0357328,"Anita Hassanandani Reddy, Tusshar Kapoor, Chetana Das",No,No,No
Jhankaar Beats,"['Comedy', ' Romance', ' Music']","This movie was a tribute to R. D. Burman. Jhankaar Beats is a story about love, friendship and music. Two copywriter brothers have lost in pop music contest called Jhankaar Beats for the last two years. They take the help of an apprentice to compete in a music contest.",2003-06-19,['Sujoy Ghosh'],Yes,Yes,No,Yes,No,Yes,No,No,No,No,tt0347278,"Juhi Chawla, Sanjay Suri, Rahul Bose",No,No,No
Supari,"['Action', ' Crime', ' Drama']","Four best friends end up owing 500,000 rupees to Mamta Sekhri, a woman involved in various underworld activities. The friends are forced to kill for money (an act called) ""Supari"" to pay their debt. But things begin to change when the men realize that in this game of Supari, they are not just hunters but also the hunted.",2003-06-20,['Padam Kumar'],Yes,No,Yes,No,No,Yes,No,No,No,No,tt0362204,"Nandita Das, Rahul Dev, Uday Chopra",No,No,No
Darna Mana Hai,['Horror'],"Stranded in an abandoned building, six friends relate scary stories while a crazed killer lurks in the forest.",2003-06-25,['Prawaal Raman'],No,No,Yes,No,No,Yes,No,No,No,No,tt0349333,"Nana Patekar, Boman Irani, Saif Ali Khan",No,No,No
Main Prem Ki Diwani Hoon,"['Romance', ' Drama']","Main Prem Ki Diwani Hoon is the story of Sanjana (Kareena Kapoor), a girl of today's generation full of life and vibrant ecstasy. She lives life on her own terms and gets very upset when her mother Susheela (Himani Shivpuri), arranges for her to see a boy leading to a marriage prospect.",2003-06-26,['Sooraj R. Barjatya'],Yes,Yes,No,No,No,Yes,No,No,No,No,tt0265148,"Hrithik Roshan, Abhishek Bachchan, Kareena Kapoor",No,No,No
Khanjar (The Knife),"['Thriller', ' Mystery', ' Action']","Friday the 13th is the night when the dead come back to earth.  On one such night, Chander Sharma's son gets a call informing him of the murder of each of his father's four associates on the 13th of every month.  Chander Sharma's son is in love with Shilpa (Tabu) and his rival is Raja (Sunil Shetty), who also becomes embroiled in the mystery.  The only clue they have is a pair of gloves, leaving the police baffled.  Meanwhile, the murders continue...",2003-06-27,"['Deepak Bahry', 'Chander Sharma']",No,Yes,Yes,No,No,Yes,No,No,No,No,tt0373970,"Suniel Shetty, Tabu, Gulshan Grover",No,No,No
88 Antop Hill,"['Fantasy', ' Mystery']","Atul Kulkarni, Jasmine, Rahul Dev, Sweta Menon and Suchitra Pillai star in this fantastical mystery directed by Kushan Nandy. After a strange phone call lands him at 88 Antop Hill, Pratyush Shellar (Kulkarni) discovers he's not the only one who's been summoned; there's also a cop (Dev), a streetwalker (Menon), a rich woman (Jasmine), a dancer and a criminal. What brings them all there and what happens next will shock viewers.",2003-06-27,['Kushan Nandy'],No,Yes,No,Yes,No,Yes,No,No,No,No,tt0349058,"Suchitra Pillai, Rahul Dev, Atul Kulkarni",No,No,No
Kaash... Hamara Dil Pagal Na Hota,['Comedy'],"A reigning monarch, Raja Mahendra Pratap, in India has a problem, to be precise five problems, from five different wives, all deceased now, in the shape and form of his sons, Shiv, Veer, Gyan, Rudra, and Surya, who have grown up, are matured, but still behave like children.",2003-06-30,['Mangal Anand'],No,No,No,Yes,No,Yes,No,No,No,No,tt0829210,"Chetan Aneja, Mithun Purandare, Sunil Singh",No,No,No
Humein Tumse Pyar Ho Gaya Chupke Chupke,['Drama'],"Major Yamraj Singh and Professor Durander Lal have been friends for many years, live as neighbors, share meals, and would like their respective children, Raja and Rani to get married. At a well organized reception, they do announce their official engagement, little knowing that both dislike each other. While Rani is not decided about her future partner, Raja likes Manjit Singh, the daughter of Dildar Singh, who owns a trucking business.",2003-06-30,['Pramod Mandloi'],Yes,No,No,No,No,Yes,No,No,No,No,tt0829200,"Siddharth Dhawan, Dinesh Hingoo, Meghna Desai",No,No,No
Hawa,"['Drama', ' Horror']","Sanjana lives in a big city along with her husband and two daughters. But things are not quite rosy as the couple faces a disastrous situation in their life which leads to divorce. Sanjana along with her brother, Vicky, her two daughters and a dog relocates to a lonely house in a forest. While residing there Sanjana begins to see some odd situations taking place especially when her house is struck by lightning, her dog attacked her and she and her daughters are mysteriously raped.",2003-07-04,['Guddu Dhanoa'],Yes,No,Yes,No,No,Yes,No,No,No,No,tt0369516,"Tabu, Shahbaaz Khan, Mukesh Tiwari",No,No,No
Saaya,"['Mystery', ' Horror']","Tanya is a rich woman who is married to another rich man named Vinod. But their lives change by Vinod's death. Tanya than starts falling in love with a doctor named Akash. But Akash is in love with a woman named Maya and after some time gets married to her. But their marriage does not last long. Because, first Maya leaves him to travel to another part of India to help people who are sick; and then Akash receives news that she is dead. Tanya comes up to console Akash and hopes that he will now love, accept and marry her. But Akash does not do so, as he is still immersed in Maya's memories, and believes that Maya is still alive and calling out to him. Is Akash going out of his mind?",2003-07-04,['Anurag Basu'],No,Yes,Yes,No,No,Yes,No,No,No,No,tt0371922,"Tara Sharma, Mahima Chaudhry, John Abraham",No,No,No
Kahan Ho Tum,"['Drama', ' Family', ' Mystery']",Kahan ho tum is a story of three friends who get caught up in a murder.,2003-07-11,['Vijay Kumar'],Yes,Yes,No,Yes,No,Yes,No,No,No,No,tt0362795,"Ishitta Arun, Samir Soni, Sharman Joshi",No,No,No
Qayamat: City Under Threat,"['Action', ' Crime', ' Drama', ' Romance']","CBI Officer Akram Sheikh is on the verge of nabbing three dreaded Pakistan-backed arms dealers, the brothers Ali and Abbas and their common moll Laila. When Sheikh busts an important arms deal conducted by his three targets, Ali-Abbas join forces with Gopal, a corrupt scientist to get hold of a deadly virus and take the tourists at the Elphinstone Jail resort as hostage. Akram Sheikh is now compelled to get help from Rachit, a criminal serving jail time who was a former associate of Ali-Abbas and the only person in history to have successfully escaped the Elphinstone jail . Along with a commando team, they try to pull off a rescue attempt by breaking in the jail and rescuing the hostages.",2003-07-11,['Harry Baweja'],Yes,Yes,Yes,No,No,Yes,No,No,No,No,tt0364621,"Suniel Shetty, Sanjay Kapoor, Ajay Devgn",Yes,No,No
Jaal: The Trap,"['Action', ' Drama']",Sunny Deol battles terrorists from Kashmir; from director Guddu Dhanoa.,2003-07-18,['Guddu Dhanoa'],Yes,No,Yes,No,No,Yes,No,No,No,No,tt0340178,"Tabu, Sunny Deol, Reema Sen",No,No,No
Chori Chori,"['Drama', ' Comedy', ' Romance']","'Chori Chori' is a romantic film telling the story of Ranbir (Ajay Devgan) and Khushi (Rani Mukherjee) who are as different as chalk and cheese. They bump into each other on the streets of Delhi. It certainly isn't love at first sight for them. In fact there is nothing but war of words and arguments. Circumstances keep Ranbir and Khushi together, much to their discomfort. Till they realize that th",2003-08-01,['Milan Luthria'],Yes,Yes,No,Yes,No,Yes,No,No,No,No,tt0326805,"Sonali Bendre, Rani Mukerji, Ajay Devgn",Yes,No,No
